Day,Date,Last Px,Volume,SMAVG(15),Dvd 12M Yld,P/E,P/B
Mo,10/26/09,16740.5,22.075M,27.792M,1.0459,18.6086,3.5689
Su,10/25/09,,,,,18.6868,3.5839
,,,,,,,
Sa,10/24/09,,,,,18.6868,3.5839
Fr,10/23/09,16810.81,24.389M,28.191M,1.0415,18.6868,3.5839
Th,10/22/09,16789.74,25.608M,27.941M,1.0429,18.6634,3.5794
We,10/21/09,17009.17,25.655M,27.296M,1.0294,18.9073,3.6262
Tu,10/20/09,17223.01,24.614M,26.943M,1.0166,19.1479,3.6718
Mo,10/19/09,,,,,19.2624,3.6937
Su,10/18/09,,,,,19.2624,3.6937
,,,,,,,
Sa,10/17/09,17326.01,8.317M,26.94M,1.0106,19.2624,3.6937
Fr,10/16/09,17322.82,28.224M,29.616M,1.0108,19.2589,3.693
Th,10/15/09,17195.2,30.114M,29.249M,0.9347,19.1132,3.6658
We,10/14/09,17231.11,31.838M,29.106M,0.9327,19.1531,3.6735
Tu,10/13/09,,,,,18.9264,3.6299
Mo,10/12/09,17026.67,24.108M,29.933M,0.9439,18.9264,3.6299
Su,10/11/09,,,,,18.5024,3.548
,,,,,,,
Sa,10/10/09,,,,,18.5024,3.548
Fr,10/9/09,16642.66,27.078M,30.342M,0.9715,18.5024,3.548
Th,10/8/09,16843.54,37.07M,29.843M,0.9599,18.7257,3.5909
We,10/7/09,16806.66,32.72M,28.941M,0.962,18.6861,3.583
Tu,10/6/09,16958.54,50.273M,28.646M,0.9534,18.8157,3.6154
Mo,10/5/09,16866.41,24.791M,27.291M,0.9586,18.7135,3.5957
Su,10/4/09,,,,,19.011,3.6529
,,,,,,,
Sa,10/3/09,,,,,19.0108,3.6529
Fr,10/2/09,,,,,19.0108,3.6529
Th,10/1/09,17134.55,28.06M,27.68M,0.9436,19.0108,3.6529
We,9/30/09,17126.84,20.639M,28.142M,0.9742,19.7497,3.6557
Tu,9/29/09,16852.91,15.935M,28.435M,0.9901,19.4338,3.5972
Mo,9/28/09,,,,,19.2494,3.5631
Su,9/27/09,,,,,19.2494,3.5631
,,,,,,,
Sa,9/26/09,,,,,19.2406,3.5631
Fr,9/25/09,16693,20.367M,29.422M,0.9995,19.2343,3.5631
Th,9/24/09,16781.43,24.567M,29.53M,0.9943,19.3362,3.582
We,9/23/09,16719.5,48.463M,29.472M,0.998,19.2648,3.5688
Tu,9/22/09,16886.43,22.715M,28.029M,0.9881,19.4572,3.6044
Mo,9/21/09,,,,,19.282,3.5734
Su,9/20/09,,,,,19.282,3.5734
,,,,,,,
Sa,9/19/09,,,,,19.282,3.5734
Fr,9/18/09,16741.3,27.968M,28.222M,0.9967,19.282,3.5734
Th,9/17/09,16711.11,44.234M,28.379M,0.9985,19.2473,3.567
We,9/16/09,16677.04,30.252M,26.67M,1.0221,19.208,3.5597
Tu,9/15/09,16454.45,19.584M,25.986M,1.0359,18.9517,3.5122
Mo,9/14/09,16214.19,23.549M,26.627M,1.0558,18.6777,3.4609
Su,9/13/09,,,,,18.7354,3.4716
,,,,,,,
Sa,9/12/09,,,,,18.7354,3.4716
Fr,9/11/09,16264.3,28.293M,26.379M,1.0266,18.7354,3.4716
Th,9/10/09,16216.86,29.947M,25.926M,1.0296,18.6808,3.4615
We,9/9/09,16183.55,30.634M,25.053M,1.0348,18.6424,3.4544
Tu,9/8/09,16123.67,34.985M,24.778M,1.0386,18.5734,3.4416
Mo,9/7/09,16016.32,25.037M,24.391M,1.0456,18.4567,3.4187
Su,9/6/09,,,,,18.0796,3.3488
,,,,,,,
Sa,9/5/09,,,,,18.0796,3.3488
Fr,9/4/09,15689.12,30.739M,24.435M,1.0674,18.0796,3.3488
Th,9/3/09,15398.33,21.983M,24.291M,1.0875,17.7445,3.2868
We,9/2/09,15467.46,23.695M,24.741M,1.0827,17.8242,3.3015
Tu,9/1/09,15551.19,26.822M,25.424M,1.0768,17.9207,3.3194
Mo,8/31/09,15666.64,25.614M,25.703M,1.0663,18.0602,3.344
Su,8/30/09,,,,,18.355,3.3986
,,,,,,,
Sa,8/29/09,,,,,18.355,3.3986
Fr,8/28/09,15922.34,30.31M,26.477M,1.0491,18.3594,3.3986
Th,8/27/09,15781.07,18.607M,26.669M,1.0577,18.1965,3.3685
We,8/26/09,15769.85,19.997M,27.945M,1.0584,18.1835,3.3661
Tu,8/25/09,15688.47,29.196M,28.583M,1.0639,18.0897,3.3487
Mo,8/24/09,15628.75,19.831M,29.525M,1.068,18.0208,3.3359
Su,8/23/09,,,,,17.5735,3.2531
,,,,,,,
Sa,8/22/09,,,,,17.5735,3.2531
Fr,8/21/09,15240.83,21.492M,30.359M,1.0952,17.5735,3.2531
Th,8/20/09,15012.32,16.846M,31.19M,1.1094,17.295,3.204
We,8/19/09,14809.64,26.521M,32.096M,1.1246,17.0615,3.1607
Tu,8/18/09,15035.26,29.177M,32.926M,1.1077,17.3214,3.2089
Mo,8/17/09,14784.92,25.69M,33.705M,1.1138,17.033,3.1554
Su,8/16/09,,,,,17.755,3.2892
,,,,,,,
Sa,8/15/09,,,,,17.755,3.2892
Fr,8/14/09,15411.63,28.576M,34.433M,1.0618,17.755,3.2892
Th,8/13/09,15518.49,28.738M,35.415M,1.0545,17.8781,3.312
We,8/12/09,15020.16,33.943M,37.185M,1.0895,17.304,3.2057
Tu,8/11/09,15074.59,31.011M,37.712M,1.0856,17.3667,3.2173
Mo,8/10/09,15009.77,37.214M,37.982M,1.0902,17.2921,3.2034
Su,8/9/09,,,,,17.4654,3.2355
,,,,,,,
Sa,8/8/09,,,,,17.4654,3.2355
Fr,8/7/09,15160.24,33.203M,37.818M,1.0794,17.4654,3.2355
Th,8/6/09,15514.03,37.738M,38.116M,1.0548,17.873,3.3111
We,8/5/09,15903.83,29.565M,37.933M,1.029,18.3221,3.3942
Tu,8/4/09,15830.98,43.331M,37.77M,1.0337,18.2381,3.3787
Mo,8/3/09,15924.23,32.333M,36.474M,1.0273,18.3456,3.3986
Su,8/2/09,,,,,18.2517,3.3445
,,,,,,,
Sa,8/1/09,,,,,18.2517,3.3445
Fr,7/31/09,15670.31,33.956M,35.957M,1.0624,18.2517,3.3445
Th,7/30/09,15387.96,30.447M,35.549M,1.0819,17.9228,3.2843
We,7/29/09,15173.46,38.972M,35.413M,1.0972,17.673,3.2385
Tu,7/28/09,15331.94,40.864M,35.317M,1.086,17.8576,3.2723
Mo,7/27/09,15375.04,36.607M,34.974M,1.0829,17.8925,3.2789
Su,7/26/09,,,,,17.8994,3.2797
,,,,,,,
Sa,7/25/09,,,,,17.8994,3.2797
Fr,7/24/09,15378.96,43.299M,35.422M,1.0805,17.8994,3.2797
Th,7/23/09,15231.04,55.29M,34.47M,1.079,17.7272,3.2482
We,7/22/09,14843.12,41.847M,32.866M,1.1072,17.2667,3.1655
Tu,7/21/09,15062.49,35.07M,31.992M,1.0911,17.5194,3.2122
Mo,7/20/09,15191.01,34.744M,32.004M,1.0818,17.6689,3.2397
Su,7/19/09,,,,,17.15,3.1445
,,,,,,,
Sa,7/18/09,,,,,17.15,3.1445
Fr,7/17/09,14744.92,37.682M,31.459M,1.1146,17.15,3.1445
Th,7/16/09,14250.25,34.996M,31.143M,1.1533,16.5747,3.039
We,7/15/09,14253.24,27.116M,30.793M,1.153,16.5781,3.0397
Tu,7/14/09,13853.7,23.887M,31.034M,1.1863,16.1134,2.9545
Mo,7/13/09,13400.32,24.572M,31.828M,1.2248,15.5861,2.8578
Su,7/12/09,,,,,15.707,2.8799
,,,,,,,
Sa,7/11/09,,,,,15.707,2.8799
Fr,7/10/09,13504.22,27.849M,32.302M,1.21,15.707,2.8799
Th,7/9/09,13757.46,28.395M,32.95M,1.1878,16.0015,2.9339
We,7/8/09,13769.15,37.532M,36.13M,1.1899,16.0151,2.9364
Tu,7/7/09,14170.45,35.721M,36.01M,1.1562,16.4388,3.0219
Mo,7/6/09,14043.4,43.337M,35.797M,1.1666,16.2914,2.9948
Su,7/5/09,,,,,17.3003,3.1802
,,,,,,,
Sa,7/4/09,,,,,17.3003,3.1802
Fr,7/3/09,14913.05,29.005M,35.247M,1.1808,17.3003,3.1802
Th,7/2/09,14658.49,31.24M,36.065M,1.2014,17.005,3.1259
We,7/1/09,14645.47,28.729M,36.889M,1.2014,16.9899,3.1232
Tu,6/30/09,14493.84,35.249M,37.891M,1.2139,16.814,3.0908
Mo,6/29/09,14785.74,26.572M,39.028M,1.19,17.6307,3.1531
Su,6/28/09,,,,,17.6103,3.1486
,,,,,,,
Sa,6/27/09,,,,,17.6103,3.1486
Fr,6/26/09,14764.64,32.952M,39.382M,1.1857,17.6103,3.1486
Th,6/25/09,14345.62,29.732M,39.723M,1.2203,17.0744,3.9745
We,6/24/09,14422.73,30.741M,40.432M,1.2138,16.9508,3.9959
Tu,6/23/09,14324.01,35.8M,41.303M,1.2221,16.9245,3.977
Mo,6/22/09,14326.22,31.673M,41.863M,1.222,16.9271,3.9776
Su,6/21/09,,,,,17.1562,4.0319
,,,,,,,
Sa,6/20/09,,,,,17.1562,4.0319
Fr,6/19/09,14521.89,37.577M,42.725M,1.171,17.1547,4.0296
Th,6/18/09,14265.53,76.094M,43.286M,1.192,16.8519,3.9585
We,6/17/09,14522.84,35.734M,41.057M,1.171,17.1582,4.03
Tu,6/16/09,14957.91,32.522M,41.811M,1.1369,17.6722,4.1507
Mo,6/15/09,14875.52,35.082M,42.16M,1.1432,17.5749,4.1278
Su,6/14/09,,,,,18.0031,4.2284
,,,,,,,
Sa,6/13/09,,,,,18.0029,4.2284
Fr,6/12/09,15237.94,41.272M,42.319M,1.116,18.0029,4.2284
Th,6/11/09,15411.47,43.611M,42.199M,1.0643,18.2095,4.2766
We,6/10/09,15466.81,43.747M,42.278M,1.0605,18.2738,4.2919
Tu,6/9/09,15127,52.312M,42.755M,1.0647,17.8724,4.1976
Mo,6/8/09,14665.92,31.878M,45.228M,1.0981,17.3269,4.0697
Su,6/7/09,,,,,17.8439,4.1911
,,,,,,,
Sa,6/6/09,,,,,17.8439,4.1911
Fr,6/5/09,15103.55,38.069M,43.154M,1.0945,17.8439,4.1911
Th,6/4/09,15008.68,40.372M,42.945M,1.1014,17.7315,4.1648
We,6/3/09,14870.9,43.795M,42.857M,1.0833,17.5825,4.1266
Tu,6/2/09,14874.91,44.213M,54.438M,1.083,17.5838,4.1275
Mo,6/1/09,14840.63,44.595M,54.153M,1.0855,17.5441,4.118
Su,5/31/09,,,,,17.3089,4.0582
,,,,,,,
Sa,5/30/09,,,,,17.3089,4.0582
Fr,5/29/09,14625.25,45.993M,53.579M,1.1015,17.0627,3.8743
Th,5/28/09,14296.01,42.653M,54.186M,1.1268,16.1465,3.7868
We,5/27/09,14109.64,47.056M,54.53M,1.1417,15.8819,3.7374
Tu,5/26/09,13589.23,37.75M,54.677M,1.1855,15.2962,3.5996
Mo,5/25/09,13913.22,37.463M,55.393M,1.1578,15.6556,3.6838
Su,5/24/09,,,,,15.6149,3.6769
,,,,,,,
Sa,5/23/09,,,,,15.6149,3.6769
Fr,5/22/09,13887.15,39.481M,55.994M,1.1733,15.6149,3.6769
Th,5/21/09,13736.54,44.794M,56.055M,1.1862,15.4511,3.637
We,5/20/09,14060.66,50.904M,56.239M,1.1589,15.8149,3.7228
Tu,5/19/09,14302.03,89.409M,56.345M,1.1393,16.0949,3.7867
Mo,5/18/09,14284.21,767.419k,53.356M,1.1407,16.0716,3.782
Su,5/17/09,,,,,13.697,3.2231
,,,,,,,
Sa,5/16/09,,,,,13.697,3.2231
Fr,5/15/09,12173.42,34.935M,56.093M,1.3385,13.697,3.2231
Th,5/14/09,11872.91,39.05M,56.363M,1.3724,13.3585,3.1435
We,5/13/09,12019.65,217.503M,56.76M,1.3556,13.5236,3.1824
Tu,5/12/09,12158.03,39.937M,45.136M,1.3402,13.6506,3.2185
Mo,5/11/09,11682.99,35.996M,46.045M,1.3947,13.1276,3.0928
Su,5/10/09,,,,,13.3455,3.1439
,,,,,,,
Sa,5/9/09,,,,,13.3388,3.1439
Fr,5/8/09,11876.43,55.1M,47.663M,1.3718,13.367,3.1439
Th,5/7/09,12116.94,47.803M,48.667M,1.3446,13.6384,3.2011
We,5/6/09,11952.75,49.265M,48.347M,1.3608,13.4535,3.1578
Tu,5/5/09,12131.08,48.485M,48.962M,1.3408,13.6554,3.2049
Mo,5/4/09,12134.75,46.482M,49.487M,1.3404,13.6609,3.2058
Su,5/3/09,,,,,12.845,3.0126
,,,,,,,
Sa,5/2/09,,,,,12.8451,3.0126
Fr,5/1/09,,,,,12.8451,3.0126
Th,4/30/09,,,,,12.8348,3.0126
We,4/29/09,11403.25,40.4M,49.977M,1.4664,12.8202,3.0126
Tu,4/28/09,11001.75,47.545M,51.589M,1.5199,12.3721,2.907
Mo,4/27/09,11371.85,52.491M,51.474M,1.4704,12.7692,3.0048
Su,4/26/09,,,,,12.6959,2.9935
,,,,,,,
Sa,4/25/09,,,,,12.6959,2.9935
Fr,4/24/09,11329.05,44.587M,51.504M,1.476,12.6451,2.9935
Th,4/23/09,11134.99,41.813M,51.287M,1.5017,12.4088,2.9422
We,4/22/09,10817.54,38.992M,52.016M,1.5458,12.0603,2.8584
Tu,4/21/09,10898.11,45M,52.426M,1.5344,12.1446,2.8796
Mo,4/20/09,10979.5,43.139M,52.725M,1.523,12.2377,2.9011
Su,4/19/09,,,,,12.2816,2.9127
,,,,,,,
Sa,4/18/09,,,,,12.281,2.9127
Fr,4/17/09,11023.09,53.578M,53.183M,1.517,12.2805,2.9127
Th,4/16/09,10947.4,60.262M,52.494M,1.5274,12.1953,2.8926
We,4/15/09,11284.73,70.156M,50.657M,1.4818,12.5706,2.9818
Tu,4/14/09,,,,,12.2157,2.8979
Mo,4/13/09,10967.22,43.008M,48.382M,1.5247,12.1952,2.8979
Su,4/12/09,,,,,12.0109,2.8547
,,,,,,,
Sa,4/11/09,,,,,12.0109,2.8547
Fr,4/10/09,,,,,12.0102,2.8547
Th,4/9/09,10803.86,58.486M,48.556M,1.5477,12.0102,2.8547
We,4/8/09,10742.34,56.373M,47.809M,1.5566,11.921,2.8385
Tu,4/7/09,,,,,11.6788,2.7835
Mo,4/6/09,10534.87,53.828M,47.338M,1.5873,11.6789,2.7835
Su,4/5/09,,,,,11.4715,2.7344
,,,,,,,
Sa,4/4/09,,,,,11.4726,2.7344
Fr,4/3/09,,,,,11.474,2.7344
Th,4/2/09,10348.83,64.581M,47.047M,1.6158,11.4739,2.7344
We,4/1/09,9901.99,45.817M,45.16M,1.6876,10.971,2.6147
Tu,3/31/09,9708.5,52.936M,43.865M,1.7212,10.9967,2.4589
Mo,3/30/09,9568.14,41.339M,43.817M,1.7465,10.8388,2.4233
Su,3/29/09,,,,,11.3811,2.545
,,,,,,,
Sa,3/28/09,,,,,11.3811,2.545
Fr,3/27/09,10048.49,52.752M,44.483M,1.663,11.3818,2.545
Th,3/26/09,10003.1,45.138M,43.676M,1.6705,11.3304,2.5335
We,3/25/09,9667.9,49.478M,43.019M,1.7284,10.9507,2.4486
Tu,3/24/09,9471.04,50.008M,41.732M,1.7644,10.7277,2.3987
Mo,3/23/09,9424.02,43.241M,41.216M,1.7732,10.6745,2.3868
Su,3/22/09,,,,,10.1564,2.271
,,,,,,,
Sa,3/21/09,,,,,10.1564,2.271
Fr,3/20/09,8966.68,32.708M,40.808M,1.8636,10.1564,2.271
Th,3/19/09,9001.75,36.042M,40.778M,1.8563,10.196,2.2799
We,3/18/09,8976.68,45.607M,40.532M,1.8615,10.1678,2.2735
Tu,3/17/09,8863.82,47.293M,39.361M,1.8852,10.0398,2.2449
Mo,3/16/09,8943.54,49.308M,38.031M,1.8684,10.1303,2.2651
Su,3/15/09,,,,,9.8977,2.2178
,,,,,,,
Sa,3/14/09,,,,,9.8977,2.2178
Fr,3/13/09,8756.61,49.45M,37.195M,1.9083,9.8977,2.2178
Th,3/12/09,8343.75,36.281M,35.787M,2.0027,9.4309,2.1132
We,3/11/09,,,,,9.2237,2.0668
Tu,3/10/09,,,,,9.2237,2.0668
Mo,3/9/09,8160.4,26.395M,35.854M,2.0477,9.2237,2.0668
Su,3/8/09,,,,,9.4106,2.1087
,,,,,,,
Sa,3/7/09,,,,,9.4106,2.1087
Fr,3/6/09,8325.82,52.22M,36.09M,2.0071,9.4106,2.1087
Th,3/5/09,8197.92,51.321M,34.867M,2.0384,9.266,2.0763
We,3/4/09,8446.49,40.655M,33.95M,1.9784,9.5469,2.1393
Tu,3/3/09,8427.29,35.283M,34.245M,1.9829,9.5252,2.1344
Mo,3/2/09,8607.08,30.172M,34.103M,1.9415,9.7296,2.1799
Su,3/1/09,,,,,10.0513,2.252
,,,,,,,
Sa,2/28/09,,,,,10.0513,2.252
Fr,2/27/09,8891.61,42.264M,33.99M,1.8824,10.0513,2.252
Th,2/26/09,8954.86,37.122M,33.149M,1.8691,10.1227,2.268
We,2/25/09,8902.56,32.252M,33.444M,1.8801,10.0634,2.2548
Tu,2/24/09,8822.06,32.355M,34.362M,1.8973,9.9723,2.2344
Mo,2/23/09,,,,,9.9962,2.2397
Su,2/22/09,,,,,9.9962,2.2397
,,,,,,,
Sa,2/21/09,,,,,9.9962,2.2397
Fr,2/20/09,8843.21,28.047M,34.852M,1.8927,9.9962,2.2397
Th,2/19/09,9042.63,27.337M,36.177M,1.851,10.2216,2.2902
We,2/18/09,9015.18,36.774M,36.938M,1.8566,10.1903,2.2833
Tu,2/17/09,9035,28.331M,37.138M,1.8525,10.2126,2.2883
Mo,2/16/09,9305.45,37.278M,37.531M,1.7987,10.5183,2.3568
Su,2/15/09,,,,,10.8906,2.4402
,,,,,,,
Sa,2/14/09,,,,,10.8906,2.4402
Fr,2/13/09,9634.74,29.931M,37.977M,1.7372,10.8906,2.4402
Th,2/12/09,9465.83,33.882M,38.593M,1.7682,10.6996,2.3974
We,2/11/09,9618.54,37.571M,38.493M,1.7401,10.8722,2.4361
Tu,2/10/09,9647.47,45.069M,38.073M,1.7349,10.9049,2.4434
Mo,2/9/09,9583.89,33.152M,37.071M,1.7464,10.8326,2.4273
Su,2/8/09,,,,,10.5125,2.3556
,,,,,,,
Sa,2/7/09,,,,,10.5125,2.3556
Fr,2/6/09,9300.86,28.486M,37.224M,1.8086,10.5125,2.3556
Th,2/5/09,9090.88,29.653M,37.831M,1.8504,10.2752,2.3025
We,2/4/09,9201.85,41.544M,37.983M,1.8281,10.4007,2.3306
Tu,2/3/09,9149.3,46.017M,38.225M,1.8386,10.3413,2.3173
Mo,2/2/09,9066.7,39.707M,38.149M,1.8554,10.2482,2.2963
Su,2/1/09,,,,,10.6471,2.3869
,,,,,,,
Sa,1/31/09,,,,,10.6471,2.3869
Fr,1/30/09,9424.24,47.928M,46.051M,1.785,10.6471,2.3869
Th,1/29/09,9236.28,38.743M,57.36M,1.8213,10.4293,2.3393
We,1/28/09,9257.47,39.784M,58.487M,1.8153,10.4537,2.3446
Tu,1/27/09,9004.08,34.226M,59.246M,1.8663,10.1676,2.2805
Mo,1/26/09,,,,,9.7956,2.197
Su,1/25/09,,,,,9.8046,2.197
,,,,,,,
Sa,1/24/09,,,,,9.8046,2.197
Fr,1/23/09,8674.35,43.965M,60.404M,1.9373,9.8046,2.197
Th,1/22/09,8813.84,39.175M,60.357M,1.9066,9.9623,2.2323
We,1/21/09,8779.17,32.368M,62M,1.9142,9.9231,2.2235
Tu,1/20/09,9100.55,31.278M,63.609M,1.8466,10.2844,2.3049
Mo,1/19/09,9329.57,30.034M,65.912M,1.8012,10.543,2.3629
Su,1/18/09,,,,,10.5357,2.3614
,,,,,,,
Sa,1/17/09,,,,,10.5357,2.3614
Fr,1/16/09,9323.59,35.46M,66.779M,1.8024,10.5355,2.3614
Th,1/15/09,9046.74,37.582M,69.005M,1.8575,10.2196,2.2913
We,1/14/09,9370.49,31.941M,70.003M,1.7934,10.5842,2.3733
Tu,1/13/09,9071.36,45.166M,70.469M,1.8525,10.2472,2.2975
Mo,1/12/09,9110.05,44.885M,71.425M,1.8446,10.2919,2.3073
Su,1/11/09,,,,,10.6266,2.3824
,,,,,,,
Sa,1/10/09,,,,,10.6266,2.3824
Fr,1/9/09,9406.47,158.233M,73.043M,1.8274,10.6266,2.3824
Th,1/8/09,,,,,10.8302,2.4281
We,1/7/09,9586.88,217.566M,67.548M,1.793,10.83,2.4281
Tu,1/6/09,10335.93,55.647M,55.779M,1.663,11.6761,2.6178
Mo,1/5/09,10275.6,51.159M,55.207M,1.6728,11.6077,2.6025
Su,1/4/09,,,,,11.2492,2.5221
,,,,,,,
Sa,1/3/09,,,,,11.2492,2.5221
Fr,1/2/09,9958.22,51.61M,55.354M,1.7261,11.2492,2.5221
Th,1/1/09,9903.46,43.256M,56.497M,1.7357,11.1874,2.5083
We,12/31/08,9647.31,63.819M,57.947M,1.7892,10.9036,2.4285
Tu,12/30/08,9716.16,56.506M,57.042M,1.7765,10.9823,2.4459
Mo,12/29/08,9533.52,65.814M,56.809M,1.8106,10.7754,2.3999
Su,12/28/08,,,,,10.5442,2.3484
,,,,,,,
Sa,12/27/08,,,,,10.5442,2.3484
Fr,12/26/08,9328.92,43.038M,56.103M,1.8503,10.5442,2.3484
Th,12/25/08,,,,,10.8152,2.4088
We,12/24/08,9568.72,68.856M,56.723M,1.8039,10.8152,2.4088
Tu,12/23/08,9686.75,52.548M,54.871M,1.7819,10.9486,2.4385
Mo,12/22/08,9928.35,38.932M,54.378M,1.7386,11.2216,2.4993
Su,12/21/08,,,,,11.4155,2.5425
,,,,,,,
Sa,12/20/08,,,,,11.4155,2.5425
Fr,12/19/08,10099.91,59.514M,54.056M,1.709,11.4155,2.5425
Th,12/18/08,10076.43,69.154M,53.066M,1.713,11.389,2.5366
We,12/17/08,9715.29,75.806M,51.235M,1.7767,10.9808,2.4457
Tu,12/16/08,9976.98,41.023M,49.097M,1.7301,11.2765,2.5115
Mo,12/15/08,9832.39,47.065M,50.305M,1.7555,11.1131,2.4751
Su,12/14/08,,,,,10.9523,2.4393
,,,,,,,
Sa,12/13/08,,,,,10.9522,2.4393
Fr,12/12/08,9690.07,53.369M,49.828M,1.7813,10.9522,2.4393
Th,12/11/08,9645.46,68.757M,49.111M,1.7896,10.9017,2.4281
We,12/10/08,9654.9,65.005M,47.264M,1.7878,10.9124,2.4305
Tu,12/9/08,,,,,10.356,2.3065
Mo,12/8/08,9162.62,50.246M,45.722M,1.8839,10.3558,2.3065
Su,12/7/08,,,,,10.1327,2.2568
,,,,,,,
Sa,12/6/08,,,,,10.1327,2.2568
Fr,12/5/08,8965.2,53.014M,45.452M,1.9254,10.1327,2.2568
Th,12/4/08,9229.75,55.223M,45.408M,1.8702,10.4317,2.3234
We,12/3/08,8747.43,52.334M,45.972M,1.9733,9.8868,2.202
Tu,12/2/08,8739.24,41.071M,45.511M,1.9752,9.8747,2.2
Mo,12/1/08,8839.87,45.164M,45.572M,1.9527,9.9884,2.2253
Su,11/30/08,,,,,10.2742,2.2889
,,,,,,,
Sa,11/29/08,,,,,10.2742,2.2889
Fr,11/28/08,9092.72,34.099M,45.852M,1.8984,10.2742,2.2889
Th,11/27/08,,,,,10.1997,2.2723
We,11/26/08,9026.72,44.666M,47.133M,1.9123,10.1997,2.2723
Tu,11/25/08,8695.53,41.689M,47.562M,1.9851,9.8242,2.1889
Mo,11/24/08,8903.12,43.726M,47.767M,1.9388,10.0587,2.2412
Su,11/23/08,,,,,10.0719,2.2442
,,,,,,,
Sa,11/22/08,,,,,10.0719,2.2442
Fr,11/21/08,8915.21,59.15M,48.664M,1.9361,10.0719,2.2442
Th,11/20/08,8451.01,39.915M,48.393M,2.0425,9.5474,2.1274
We,11/19/08,8773.78,42.603M,46.467M,1.9673,9.912,2.2086
Tu,11/18/08,8937.2,41.061M,47.323M,1.9314,10.109,2.2498
Mo,11/17/08,9291.01,41.863M,48.829M,1.8578,10.5092,2.3389
Su,11/16/08,,,,,10.6159,2.3626
,,,,,,,
Sa,11/15/08,,,,,10.6159,2.3626
Fr,11/14/08,9385.42,46.203M,48.77M,1.8391,10.617,2.3626
Th,11/13/08,,,,,10.7876,2.4006
We,11/12/08,9536.33,52.359M,47.913M,1.81,10.7876,2.4006
Tu,11/11/08,9839.69,63.672M,47.478M,1.7542,11.1308,2.477
Mo,11/10/08,10536.16,45.432M,45.591M,1.6383,11.9185,2.6523
Su,11/9/08,,,,,11.2716,2.5083
,,,,,,,
Sa,11/8/08,,,,,11.2716,2.5083
Fr,11/7/08,9964.29,41.985M,45.719M,1.7405,11.2716,2.5083
Th,11/6/08,9734.22,49.355M,46.355M,1.7817,11.0116,2.4504
We,11/5/08,10120.01,53.32M,45.387M,1.7138,11.448,2.5475
Tu,11/4/08,10631.12,51.094M,44.233M,1.6314,12.0262,2.6762
Mo,11/3/08,10337.68,44.765M,43.749M,1.6777,11.6943,2.6023
Su,11/2/08,,,,,11.0726,2.464
,,,,,,,
Sa,11/1/08,,,,,11.0726,2.464
Fr,10/31/08,9788.06,57.183M,44.923M,1.7814,11.0726,2.464
Th,10/30/08,,,,,10.2314,2.2768
We,10/29/08,9044.51,55.082M,45.52M,1.9278,10.248,2.2768
Tu,10/28/08,9008.08,11.034M,44.54M,1.9362,10.2067,2.2676
Mo,10/27/08,8509.56,55.438M,46M,2.0496,9.6418,2.1421
Su,10/26/08,,,,,9.8588,2.1903
,,,,,,,
Sa,10/25/08,,,,,9.8587,2.1903
Fr,10/24/08,8701.07,63.654M,44.786M,2.0141,9.8593,2.1903
Th,10/23/08,9771.7,40.974M,42.703M,1.7934,11.0725,2.4599
We,10/22/08,10169.9,33.347M,42.538M,1.7232,11.5226,2.5601
Tu,10/21/08,10683.39,45.831M,42.784M,1.6403,12.1039,2.6894
Mo,10/20/08,10223.09,35.373M,41.665M,1.7142,11.5824,2.5735
Su,10/19/08,,,,,11.3017,2.5111
,,,,,,,
Sa,10/18/08,,,,,11.3017,2.5111
Fr,10/17/08,9975.35,47.353M,41.75M,1.7568,11.3017,2.5111
Th,10/16/08,10581.49,51.514M,41.278M,1.6561,11.9883,2.6637
We,10/15/08,10809.12,34.846M,39.81M,1.6037,12.2462,2.721
Tu,10/14/08,11483.4,36.012M,39.871M,1.5095,13.0103,2.8907
Mo,10/13/08,11309.09,43.827M,40.63M,1.5328,12.8128,2.8469
Su,10/12/08,,,,,11.9261,2.6502
,,,,,,,
Sa,10/11/08,,,,,11.9255,2.6502
Fr,10/10/08,10527.85,62.382M,40.914M,1.6465,11.9255,2.6502
Th,10/9/08,,,,,12.8341,2.8517
We,10/8/08,11328.36,66.139M,38.782M,1.5302,12.834,2.8517
Tu,10/7/08,11695.24,40.381M,36.619M,1.4822,13.2495,2.9441
Mo,10/6/08,11801.7,32.922M,35.522M,1.4688,13.3704,2.9709
Su,10/5/08,,,,,14.1914,3.1533
,,,,,,,
Sa,10/4/08,,,,,14.1914,3.1533
Fr,10/3/08,12526.32,37.227M,35.115M,1.3838,14.1905,3.1533
Th,10/2/08,,,,,14.7903,3.2865
We,10/1/08,13055.67,32.41M,34.154M,1.3277,14.7906,3.2865
Tu,9/30/08,12860.43,38.499M,33.518M,1.3479,14.6403,3.331
Mo,9/29/08,12595.75,37.038M,32.27M,1.3762,14.339,3.2625
Su,9/28/08,,,,,14.9155,3.3936
,,,,,,,
Sa,9/27/08,,,,,14.9155,3.3936
Fr,9/26/08,13102.18,29.055M,31.361M,1.323,14.9155,3.3936
Th,9/25/08,13547.18,36.64M,30.974M,1.2796,15.4221,3.5089
We,9/24/08,13692.52,40.27M,29.846M,1.266,15.5876,3.5465
Tu,9/23/08,13570.31,29.506M,28.877M,1.2774,15.4485,3.5149
Mo,9/22/08,13994.96,35.755M,27.897M,1.2386,15.9379,3.6249
Su,9/21/08,,,,,15.9919,3.6371
,,,,,,,
